Program Name,Contract,Type,Company,Fuel Surcharges,Mins,Daily,Hourly,Annual Membership fees
NA - Rise Card - $200K - Latitude,,Super Mid,Nicholas Air (NA),0,1,,15020,
NA - Rise Card - $350K - C300,,Super Mid,Nicholas Air (NA),0,1,,17400,
NA - Rise Card - $350K - Latitude,,Super Mid,Nicholas Air (NA),0,1,,14760,
NA - Rise Card - $500K - C300,,Super Mid,Nicholas Air (NA),0,1,,17050,
NA - Rise Card - $500K - Latitude,,Super Mid,Nicholas Air (NA),0,1,,14530,
NJ - 25-hour 275 Card - Challenger 350,,Super Mid,NetJets (NJ),0,1,,16000,
NJ - 25-hour 275 Card - Citation Sovereign ,,Super Mid,NetJets (NJ),0,1,,11400,
NJ - 25-hour 275 Card - Latuitude,,Super Mid,NetJets (NJ),0,0,,12000,
NJ - 25-hour 275 Specialty Card - Super Mid,,Super Mid,NetJets (NJ),0,1,,11000,
NJ - 25-hour 320 Card - Challenger 350,,Super Mid,NetJets (NJ),0,1,,20000,
NJ - 25-hour 320 Card - Citation Sovereign ,,Super Mid,NetJets (NJ),0,1,,14800,
NJ - 25-hour 320 Card - Latuitude,,Super Mid,NetJets (NJ),0,0,,16000,
NJ - 25-hour 320 Specialty Card - Super Mid,,Super Mid,NetJets (NJ),0,1,,13000,
NJ - 50-hour 275 Card - Challenger 350,,Super Mid,NetJets (NJ),0,1,,16000,
NJ - 50-hour 275 Card - Citation Sovereign ,,Super Mid,NetJets (NJ),0,1,,11400,
NJ - 50-hour 275 Card - Latuitude,,Super Mid,NetJets (NJ),0,0,,12000,
NJ - 50-hour 275 Specialty Card - Super Mid,,Super Mid,NetJets (NJ),0,1,,11000,
NJ - 50-hour 320 Card - Challenger 350,,Super Mid,NetJets (NJ),0,1,,18400,
NJ - 50-hour 320 Card - Citation Sovereign ,,Super Mid,NetJets (NJ),0,1,,13600,
NJ - 50-hour 320 Card - Latuitude,,Super Mid,NetJets (NJ),0,0,,14700,
NJ - 50-hour Specialty 320 Card - Super Mid,,Super Mid,NetJets (NJ),0,1,,12000,
SJ - SJ25+ Super Midsize ,,Super Mid,Sentient Jet (SJ) ,1215,2,,9980,
"VI - The Program - Challenger 350/300 - 50 hours
",,Super Mid,VistaJet (VI),840,1,,14345,
"VI - VJ25 - Challenger 350/300 - 25 to 49 hours
",,Super Mid,VistaJet (VI),840,1,,15172,
"WU - Signature - Fixed - Super Midsize - $1,000,000",,Super Mid,Wheels Up (WU),100,2.5,,12695,
"WU - Signature - Fixed - Super Midsize - $200,000",,Super Mid,Wheels Up (WU),100,2.5,,13495,
"WU - Signature - Fixed - Super Midsize - $500,000",,Super Mid,Wheels Up (WU),100,2.5,,12995,
"WU - Signature - Fixed - Super Midsize - Transcontinental - $1,000,000",,Super Mid,Wheels Up (WU),100,4,,10000,
"WU - Signature - Fixed - Super Midsize - Transcontinental - $200,000",,Super Mid,Wheels Up (WU),100,4,,10000,
"WU - Signature - Fixed - Super Midsize - Transcontinental - $500,000",,Super Mid,Wheels Up (WU),100,4,,10000,
MJ - Premium - Challenger 300/350 - 100 hours,,Premium Super Mid,Magellan Jets (MJ),0,1.9,,12650,
MJ - Premium - Challenger 300/350 - 100 hours - 24 hours callout,,Premium Super Mid,Magellan Jets (MJ),0,1.9,,15812.5,
MJ - Premium - Challenger 300/350 - 25 hours,,Premium Super Mid,Magellan Jets (MJ),0,1.9,,12650,
MJ - Premium - Challenger 300/350 - 25 hours - 24 hours callout,,Premium Super Mid,Magellan Jets (MJ),0,1.9,,15812.5,
MJ - Premium - Challenger 300/350 - 50 hour,,Premium Super Mid,Magellan Jets (MJ),0,1.9,,12650,
MJ - Premium - Challenger 300/350 - 50 hour - 24 hours callout,,Premium Super Mid,Magellan Jets (MJ),0,1.9,,15812.5,
flyExclusive Light ,JC25,Light,flyExclusive,,,7500,4000,12000
flyExclusive Mid,JC25,Mid,flyExclusive,,,9000,4500,12000
flyExclusive Super-Mid,JC25,Super Mid,flyExclusive,,,10000,6250,12000
flyExclusive Premium Super-Mid,JC25,Premium Super Mid,flyExclusive,,,12500,9000,12000
